Date,BEV Sales
2018-01,1286
2018-02,1949
2018-03,4047
2018-04,1894
2018-05,2018
2018-06,3166
2018-07,1734
2018-08,1604
2018-09,2614
2018-10,2861
2018-11,3541
2018-12,4355
2019-01,3059
2019-02,2879
2019-03,4614
2019-04,3222
2019-05,2736
2019-06,4497
2019-07,3077
2019-08,2092
2019-09,4201
2019-10,4382
2019-11,3199
2019-12,4803
2020-01,10952
2020-02,9452
2020-03,5510
2020-04,1115
2020-05,4111
2020-06,13727
2020-07,9941
2020-08,5591
2020-09,10011
2020-10,10043
2020-11,9601
2020-12,20734
2021-01,6471
2021-02,8425
2021-03,15413
2021-04,9560
2021-05,11564
2021-06,20899
2021-07,7524
2021-08,9911
2021-09,16990
2021-10,15582
2021-11,16420
2021-12,23168
2022-01,10218
2022-02,13453
2022-03,19835
2022-04,12692
2022-05,15245
2022-06,21888
2022-07,12736
2022-08,12302
2022-09,22481
2022-10,16861
2022-11,20274
2022-12,24944
2023-01,14629
2023-02,19595
2023-03,30635
2023-04,17113
2023-05,22667
2023-06,33280
2023-07,16867
2023-08,19657
2023-09,30173
2023-10,25473
2023-11,30775
2023-12,37355
2024-01,20017
2024-02,25825
2024-03,33981
2024-04,24850
2024-05,23892
